,n_features,marker,algo,Pearson,Spearman,Pvalue(Pearson),Pvalue(Spearman),MAPE,Method
Linear Regression_113In_VMAT2_(In113Di)_shap_61,61.0,113In_VMAT2_(In113Di),Linear Regression,0.016567751185159026,0.059459459459459456,0.9235962390809582,0.7304919558780063,0.33683143505513,shap
Linear Regression_115In_Synaptobrevin2_(In115Di)_shap_5,5.0,115In_Synaptobrevin2_(In115Di),Linear Regression,0.38191034502118104,0.3994851994851995,0.021533843645995508,0.01578797996407742,0.17404976982762413,shap
Linear Regression_115In_Synaptobrevin2_(In115Di)_shap_10,10.0,115In_Synaptobrevin2_(In115Di),Linear Regression,-0.08468630578754056,0.029343629343629347,0.6233774935428923,0.8651008475218878,0.26660206396403335,shap
Linear Regression_115In_Synaptobrevin2_(In115Di)_shap_20,20.0,115In_Synaptobrevin2_(In115Di),Linear Regression,0.12860946991878905,0.2025740025740026,0.454739803930321,0.2360640426282128,0.29828733013488606,shap
Linear Regression_115In_Synaptobrevin2_(In115Di)_shap_40,40.0,115In_Synaptobrevin2_(In115Di),Linear Regression,0.10230652203507312,0.07052767052767053,0.5526880221079689,0.6827294354274948,0.39962574391182865,shap
Linear Regression_115In_Synaptobrevin2_(In115Di)_shap_60,60.0,115In_Synaptobrevin2_(In115Di),Linear Regression,-0.2912299719564705,-0.2743886743886744,0.08483617152005835,0.10534292506648787,0.47794528130387737,shap
Linear Regression_115In_Synaptobrevin2_(In115Di)_shap_61,61.0,115In_Synaptobrevin2_(In115Di),Linear Regression,-0.3024799271676215,-0.2625482625482626,0.0729574073883388,0.12186914023399147,0.4732117964016336,shap
Linear Regression_141Pr_LRRK2_(Pr141Di)_shap_5,5.0,141Pr_LRRK2_(Pr141Di),Linear Regression,0.36089340373978707,0.43577863577863574,0.030586730509866558,0.007892194744038716,0.08450148913984071,shap
Linear Regression_141Pr_LRRK2_(Pr141Di)_shap_10,10.0,141Pr_LRRK2_(Pr141Di),Linear Regression,0.5173017265318441,0.5073359073359074,0.001234422880968812,0.0015877877253568067,0.09096627256222756,shap
Linear Regression_141Pr_LRRK2_(Pr141Di)_shap_20,20.0,141Pr_LRRK2_(Pr141Di),Linear Regression,0.6991757125295578,0.6710424710424711,2.098659671611905e-06,7.494102187675616e-06,0.08417380330102707,shap
Linear Regression_141Pr_LRRK2_(Pr141Di)_shap_40,40.0,141Pr_LRRK2_(Pr141Di),Linear Regression,0.41771347959020017,0.4530244530244531,0.011247549838953227,0.005527790059720194,0.11561920000214625,shap
Linear Regression_141Pr_LRRK2_(Pr141Di)_shap_60,60.0,141Pr_LRRK2_(Pr141Di),Linear Regression,0.14481193566386721,0.036036036036036036,0.3994172474200605,0.834718991919436,0.14069164222704333,shap
Linear Regression_141Pr_LRRK2_(Pr141Di)_shap_61,61.0,141Pr_LRRK2_(Pr141Di),Linear Regression,0.10400225717326088,0.02496782496782497,0.546088579352372,0.8850722048934369,0.13932171182278397,shap
Linear Regression_142Nd_a-Synuclein_(Nd142Di)_shap_5,5.0,142Nd_a-Synuclein_(Nd142Di),Linear Regression,0.10465850512297761,0.08494208494208495,0.5435446547087277,0.6223250812519652,0.1958602110846966,shap
Linear Regression_142Nd_a-Synuclein_(Nd142Di)_shap_10,10.0,142Nd_a-Synuclein_(Nd142Di),Linear Regression,0.1831213605949354,0.17812097812097816,0.28505874460501024,0.2986423459243213,0.2154613647397736,shap
Linear Regression_142Nd_a-Synuclein_(Nd142Di)_shap_20,20.0,142Nd_a-Synuclein_(Nd142Di),Linear Regression,0.2981318604395231,0.26924066924066925,0.07738396920855595,0.11230599534002032,0.25159310060147333,shap
Linear Regression_142Nd_a-Synuclein_(Nd142Di)_shap_40,40.0,142Nd_a-Synuclein_(Nd142Di),Linear Regression,-0.04912568481666508,-0.08597168597168597,0.7760092314100072,0.6180962211308478,0.47996326640605297,shap
Linear Regression_142Nd_a-Synuclein_(Nd142Di)_shap_60,60.0,142Nd_a-Synuclein_(Nd142Di),Linear Regression,-0.3660801562390803,-0.3173745173745174,0.028104855311355374,0.05927700304191962,0.4910013563855974,shap
Linear Regression_142Nd_a-Synuclein_(Nd142Di)_shap_61,61.0,142Nd_a-Synuclein_(Nd142Di),Linear Regression,-0.3676479271984207,-0.34259974259974263,0.027388164143905946,0.04081362236845735,0.5157469460426084,shap
Linear Regression_143Nd_GFAP_(Nd143Di)_shap_5,5.0,143Nd_GFAP_(Nd143Di),Linear Regression,0.4038598156511087,0.4007722007722008,0.014577777998822669,0.015423488232173608,0.3457052658479569,shap
Linear Regression_143Nd_GFAP_(Nd143Di)_shap_10,10.0,143Nd_GFAP_(Nd143Di),Linear Regression,0.539489782057422,0.5485199485199486,0.0006851257524319735,0.0005328248427797338,0.35903322781524927,shap
Linear Regression_143Nd_GFAP_(Nd143Di)_shap_20,20.0,143Nd_GFAP_(Nd143Di),Linear Regression,0.38630590054164193,0.39407979407979404,0.01995497018840521,0.017398814327147415,0.3643949718388287,shap
Linear Regression_143Nd_GFAP_(Nd143Di)_shap_40,40.0,143Nd_GFAP_(Nd143Di),Linear Regression,0.5399559525476597,0.5570141570141571,0.0006764075937705598,0.0004178548160751174,0.46705225956775653,shap
Linear Regression_143Nd_GFAP_(Nd143Di)_shap_60,60.0,143Nd_GFAP_(Nd143Di),Linear Regression,0.10920511311518494,0.06924066924066924,0.526076217181473,0.6882254206876419,0.5837845703871087,shap
Linear Regression_143Nd_GFAP_(Nd143Di)_shap_61,61.0,143Nd_GFAP_(Nd143Di),Linear Regression,0.10117882709799385,0.0725868725868726,0.5570973539609682,0.6739692837472474,0.5871302536481027,shap
Linear Regression_144Nd_PARKIN_(Nd144Di)_shap_5,5.0,144Nd_PARKIN_(Nd144Di),Linear Regression,0.21543782879494203,0.25765765765765763,0.20698899244841923,0.1292329717466739,0.1205050056315592,shap
Linear Regression_144Nd_PARKIN_(Nd144Di)_shap_10,10.0,144Nd_PARKIN_(Nd144Di),Linear Regression,0.34736515344854335,0.38481338481338484,0.03791530846052893,0.020479887996949102,0.11189426458510532,shap
Linear Regression_144Nd_PARKIN_(Nd144Di)_shap_20,20.0,144Nd_PARKIN_(Nd144Di),Linear Regression,0.2725350381950107,0.305019305019305,0.1078113730559349,0.07046524318145708,0.14066775271372262,shap
Linear Regression_144Nd_PARKIN_(Nd144Di)_shap_40,40.0,144Nd_PARKIN_(Nd144Di),Linear Regression,0.04823304293254623,0.008236808236808238,0.7799782003679269,0.9619733149498322,0.2540457688492756,shap
Linear Regression_144Nd_PARKIN_(Nd144Di)_shap_60,60.0,144Nd_PARKIN_(Nd144Di),Linear Regression,-0.09996042595057722,-0.07232947232947234,0.561879661428965,0.6750620252626321,0.20937002663598092,shap
Linear Regression_144Nd_PARKIN_(Nd144Di)_shap_61,61.0,144Nd_PARKIN_(Nd144Di),Linear Regression,-0.1818053509444307,-0.09884169884169886,0.28859435539269096,0.5662873571823532,0.22409378585336112,shap
Linear Regression_146Nd_Casp3_Acti_(Nd146Di)_shap_5,5.0,146Nd_Casp3_Acti_(Nd146Di),Linear Regression,0.23290191317308367,0.2550836550836551,0.17163204036365415,0.13323876957474345,0.2926649459069655,shap
Linear Regression_146Nd_Casp3_Acti_(Nd146Di)_shap_10,10.0,146Nd_Casp3_Acti_(Nd146Di),Linear Regression,0.3889126565223224,0.35083655083655085,0.019065073275099646,0.03591108555196788,0.2892197837301988,shap
Linear Regression_146Nd_Casp3_Acti_(Nd146Di)_shap_20,20.0,146Nd_Casp3_Acti_(Nd146Di),Linear Regression,0.1715014453491564,0.08674388674388675,0.3172484296412507,0.6149324779525247,0.4065100916804952,shap
Linear Regression_146Nd_Casp3_Acti_(Nd146Di)_shap_40,40.0,146Nd_Casp3_Acti_(Nd146Di),Linear Regression,0.06761323348569864,0.054568854568854575,0.6951977384263379,0.7519313401584009,0.6090222705279537,shap
Linear Regression_146Nd_Casp3_Acti_(Nd146Di)_shap_60,60.0,146Nd_Casp3_Acti_(Nd146Di),Linear Regression,-0.07524671692977856,-0.08597168597168597,0.6627162479650432,0.6180962211308478,0.5612392762500344,shap
Linear Regression_146Nd_Casp3_Acti_(Nd146Di)_shap_61,61.0,146Nd_Casp3_Acti_(Nd146Di),Linear Regression,-0.08627869853267187,-0.10476190476190476,0.6168375617344464,0.5431443435852368,0.5854859844104089,shap
Linear Regression_147Sm_BIN1_(Sm147Di)_shap_5,5.0,147Sm_BIN1_(Sm147Di),Linear Regression,-0.05165079648690304,-0.07232947232947234,0.764812306405827,0.6750620252626321,0.18990978167524633,shap
Linear Regression_147Sm_BIN1_(Sm147Di)_shap_10,10.0,147Sm_BIN1_(Sm147Di),Linear Regression,0.08687401671658537,0.06949806949806951,0.6144000000258738,0.6871249539798248,0.18431997654116955,shap
Linear Regression_147Sm_BIN1_(Sm147Di)_shap_20,20.0,147Sm_BIN1_(Sm147Di),Linear Regression,0.29836576230615675,0.25199485199485205,0.07714064918946878,0.13816598703814836,0.1950193948378905,shap
Linear Regression_147Sm_BIN1_(Sm147Di)_shap_40,40.0,147Sm_BIN1_(Sm147Di),Linear Regression,-0.04713485723537945,-0.07567567567567568,0.7848685969935181,0.6609081569102283,0.32588706067163525,shap
Linear Regression_147Sm_BIN1_(Sm147Di)_shap_60,60.0,147Sm_BIN1_(Sm147Di),Linear Regression,-0.3232310925634472,-0.34594594594594597,0.05449060835533641,0.03876042450848694,0.4257027926901683,shap
Linear Regression_147Sm_BIN1_(Sm147Di)_shap_61,61.0,147Sm_BIN1_(Sm147Di),Linear Regression,-0.3244940534883535,-0.34517374517374516,0.053499946951943295,0.03922663858458597,0.42656328120062365,shap
Linear Regression_149Sm_TMEM230_C20orf30_(Sm149Di)_shap_5,5.0,149Sm_TMEM230_C20orf30_(Sm149Di),Linear Regression,0.36402226353500766,0.3827541827541828,0.02906895489228327,0.021222940328564057,0.15348557101780347,shap
Linear Regression_149Sm_TMEM230_C20orf30_(Sm149Di)_shap_10,10.0,149Sm_TMEM230_C20orf30_(Sm149Di),Linear Regression,0.3311289653060254,0.3441441441441441,0.04852903127907225,0.039855319197374124,0.1654767345401866,shap
Linear Regression_149Sm_TMEM230_C20orf30_(Sm149Di)_shap_20,20.0,149Sm_TMEM230_C20orf30_(Sm149Di),Linear Regression,0.2810471705710878,0.33256113256113257,0.09682813550026681,0.04750626061683509,0.21074283903643268,shap
Linear Regression_149Sm_TMEM230_C20orf30_(Sm149Di)_shap_40,40.0,149Sm_TMEM230_C20orf30_(Sm149Di),Linear Regression,-0.05496566933221967,-0.10244530244530246,0.7501847109357385,0.5521465174318699,0.3941517250513548,shap
Linear Regression_149Sm_TMEM230_C20orf30_(Sm149Di)_shap_60,60.0,149Sm_TMEM230_C20orf30_(Sm149Di),Linear Regression,-0.15782161907152178,-0.19742599742599745,0.35794373907737764,0.24843688087288252,0.28741654421589496,shap
Linear Regression_149Sm_TMEM230_C20orf30_(Sm149Di)_shap_61,61.0,149Sm_TMEM230_C20orf30_(Sm149Di),Linear Regression,-0.16389101112475632,-0.267953667953668,0.339516334827531,0.11409970850990948,0.2896610772533155,shap
Linear Regression_151Eu_CD47_(Eu151Di)_shap_5,5.0,151Eu_CD47_(Eu151Di),Linear Regression,0.0871834845673215,0.046589446589446595,0.6131344706020871,0.7873004286667751,0.04508492138651401,shap
Linear Regression_151Eu_CD47_(Eu151Di)_shap_10,10.0,151Eu_CD47_(Eu151Di),Linear Regression,-0.18161215618665977,-0.17657657657657658,0.2891157610085089,0.3029197569332133,0.054089502393222605,shap
Linear Regression_151Eu_CD47_(Eu151Di)_shap_20,20.0,151Eu_CD47_(Eu151Di),Linear Regression,0.22761566832051097,0.2684684684684685,0.18184390292878055,0.11337965654324225,0.05444370002646143,shap
Linear Regression_151Eu_CD47_(Eu151Di)_shap_40,40.0,151Eu_CD47_(Eu151Di),Linear Regression,0.4467793668776565,0.5075933075933076,0.006301667951212798,0.0015776474630937198,0.05140834486893903,shap
Linear Regression_151Eu_CD47_(Eu151Di)_shap_60,60.0,151Eu_CD47_(Eu151Di),Linear Regression,-0.2594616067650415,-0.24581724581724582,0.12647929063371682,0.1484204875107254,0.09405678669689008,shap
Linear Regression_151Eu_CD47_(Eu151Di)_shap_61,61.0,151Eu_CD47_(Eu151Di),Linear Regression,-0.2870183079496455,-0.2921492921492922,0.08964872913089805,0.08381273065162623,0.09320403434255187,shap
Linear Regression_152Sm_GATM_1_(Sm152Di)_shap_5,5.0,152Sm_GATM_1_(Sm152Di),Linear Regression,0.41925854787746053,0.2985842985842986,0.010919751403100489,0.07691385181720824,0.31432220999032007,shap
Linear Regression_152Sm_GATM_1_(Sm152Di)_shap_10,10.0,152Sm_GATM_1_(Sm152Di),Linear Regression,0.11793789338068034,0.09601029601029601,0.49331190484089443,0.5775130715932626,0.3976559021501318,shap
Linear Regression_152Sm_GATM_1_(Sm152Di)_shap_20,20.0,152Sm_GATM_1_(Sm152Di),Linear Regression,0.363638086797917,0.26975546975546977,0.02925191306955291,0.11159448627380314,0.39627484521155376,shap
Linear Regression_152Sm_GATM_1_(Sm152Di)_shap_40,40.0,152Sm_GATM_1_(Sm152Di),Linear Regression,0.12393176052551635,0.02110682110682111,0.4714441078473324,0.9027525031814102,0.620812302586705,shap
Linear Regression_152Sm_GATM_1_(Sm152Di)_shap_60,60.0,152Sm_GATM_1_(Sm152Di),Linear Regression,-0.1259519780815009,-0.20540540540540542,0.4641904796735061,0.2294395427441319,0.6404126828301335,shap
Linear Regression_152Sm_GATM_1_(Sm152Di)_shap_61,61.0,152Sm_GATM_1_(Sm152Di),Linear Regression,-0.159389683856119,-0.2550836550836551,0.35312632429267443,0.13323876957474345,0.6610030410318964,shap
Linear Regression_153Eu_VGLUT_(Eu153Di)_shap_5,5.0,153Eu_VGLUT_(Eu153Di),Linear Regression,-0.2679186761182213,-0.06229086229086229,0.11414877610860208,0.718169822751257,0.15535495189953769,shap
Linear Regression_153Eu_VGLUT_(Eu153Di)_shap_10,10.0,153Eu_VGLUT_(Eu153Di),Linear Regression,0.040402057003159235,0.10836550836550837,0.8150217910484246,0.5292812911512151,0.15728658711762777,shap
Linear Regression_153Eu_VGLUT_(Eu153Di)_shap_20,20.0,153Eu_VGLUT_(Eu153Di),Linear Regression,-0.27580415794844443,-0.18043758043758046,0.10348697773770701,0.29229881344805697,0.24958673668500994,shap
Linear Regression_153Eu_VGLUT_(Eu153Di)_shap_40,40.0,153Eu_VGLUT_(Eu153Di),Linear Regression,0.01283183704420222,0.0069498069498069494,0.9407901165043908,0.9679116404517265,0.2926464786706042,shap
Linear Regression_153Eu_VGLUT_(Eu153Di)_shap_60,60.0,153Eu_VGLUT_(Eu153Di),Linear Regression,-0.44480942140977503,-0.45353925353925356,0.006564330478947998,0.005467819188908693,0.38125949444852353,shap
Linear Regression_153Eu_VGLUT_(Eu153Di)_shap_61,61.0,153Eu_VGLUT_(Eu153Di),Linear Regression,-0.44964919961832434,-0.427027027027027,0.005935201047326751,0.009391737228068641,0.39083278649942454,shap
Linear Regression_154Sm_DAT_(Sm154Di)_shap_5,5.0,154Sm_DAT_(Sm154Di),Linear Regression,0.3573312141637988,0.5343629343629344,0.03239319370889491,0.0007877914642476686,0.07673847810913248,shap
Linear Regression_154Sm_DAT_(Sm154Di)_shap_10,10.0,154Sm_DAT_(Sm154Di),Linear Regression,0.5347755528298276,0.46924066924066926,0.0007790516558271257,0.00388888885377964,0.07479361385539483,shap
Linear Regression_154Sm_DAT_(Sm154Di)_shap_20,20.0,154Sm_DAT_(Sm154Di),Linear Regression,0.29870677492404973,0.3124839124839125,0.0767869727629541,0.06352407650368556,0.11594685003564176,shap
Linear Regression_154Sm_DAT_(Sm154Di)_shap_40,40.0,154Sm_DAT_(Sm154Di),Linear Regression,0.6716922195295513,0.5619047619047619,7.288150918384618e-06,0.00036220495896281386,0.059161216915590384,shap
Linear Regression_154Sm_DAT_(Sm154Di)_shap_60,60.0,154Sm_DAT_(Sm154Di),Linear Regression,0.22486658260357179,0.07181467181467181,0.18732139931013528,0.6772494702365282,0.10833111991553507,shap
Linear Regression_154Sm_DAT_(Sm154Di)_shap_61,61.0,154Sm_DAT_(Sm154Di),Linear Regression,0.17144075228569045,0.018532818532818532,0.3174223112110283,0.9145655426903782,0.11214167109692391,shap
Linear Regression_158Gd_p-Tau_S202_T205_(Gd158Di)_shap_5,5.0,158Gd_p-Tau_S202_T205_(Gd158Di),Linear Regression,-0.02300489613825944,0.02908622908622909,0.8940545541457079,0.8662734808563062,0.09743833016641404,shap
Linear Regression_158Gd_p-Tau_S202_T205_(Gd158Di)_shap_10,10.0,158Gd_p-Tau_S202_T205_(Gd158Di),Linear Regression,0.10038873598808937,0.1801801801801802,0.5601963571098549,0.2929993488556816,0.09815470756538988,shap
Linear Regression_158Gd_p-Tau_S202_T205_(Gd158Di)_shap_20,20.0,158Gd_p-Tau_S202_T205_(Gd158Di),Linear Regression,0.2826759494370751,0.32921492921492923,0.0948276279860587,0.0499234107633622,0.11494835203434449,shap
Linear Regression_158Gd_p-Tau_S202_T205_(Gd158Di)_shap_40,40.0,158Gd_p-Tau_S202_T205_(Gd158Di),Linear Regression,-0.048753674496864005,-0.005405405405405406,0.7776626346461555,0.9750398473755058,0.2013674164466025,shap
Linear Regression_158Gd_p-Tau_S202_T205_(Gd158Di)_shap_60,60.0,158Gd_p-Tau_S202_T205_(Gd158Di),Linear Regression,-0.32599140984017794,-0.3238095238095239,0.052344091445948586,0.05403509103697602,0.2083980211674034,shap
Linear Regression_158Gd_p-Tau_S202_T205_(Gd158Di)_shap_61,61.0,158Gd_p-Tau_S202_T205_(Gd158Di),Linear Regression,-0.3730888325070298,-0.354954954954955,0.025016711617431037,0.03364607833063196,0.2226882987908406,shap
Linear Regression_159Tb_a-Synuclein_pS129_(Tb159Di)_shap_5,5.0,159Tb_a-Synuclein_pS129_(Tb159Di),Linear Regression,0.19336295783458401,0.18352638352638354,0.25850266601491323,0.28397625920765507,0.10785874880876507,shap
Linear Regression_159Tb_a-Synuclein_pS129_(Tb159Di)_shap_10,10.0,159Tb_a-Synuclein_pS129_(Tb159Di),Linear Regression,0.3754495823176149,0.42239382239382245,0.024041944936631008,0.010279430195112866,0.09883549470485915,shap
Linear Regression_159Tb_a-Synuclein_pS129_(Tb159Di)_shap_20,20.0,159Tb_a-Synuclein_pS129_(Tb159Di),Linear Regression,0.537558480295112,0.5420849420849422,0.0007223155612420611,0.000637830424490813,0.09505979165574807,shap
Linear Regression_159Tb_a-Synuclein_pS129_(Tb159Di)_shap_40,40.0,159Tb_a-Synuclein_pS129_(Tb159Di),Linear Regression,0.41635091095398286,0.380952380952381,0.01154351497824915,0.02189137467755365,0.1190781651446368,shap
Linear Regression_159Tb_a-Synuclein_pS129_(Tb159Di)_shap_60,60.0,159Tb_a-Synuclein_pS129_(Tb159Di),Linear Regression,0.007970060702733931,-0.11608751608751611,0.9632039540335824,0.5001659480322033,0.16370643866502402,shap
Linear Regression_159Tb_a-Synuclein_pS129_(Tb159Di)_shap_61,61.0,159Tb_a-Synuclein_pS129_(Tb159Di),Linear Regression,-0.016990296779735615,-0.15752895752895751,0.9216535489752515,0.3588472078841596,0.1658428890133286,shap
Linear Regression_160Gd_DJ-1_PARK7_(Gd160Di)_shap_5,5.0,160Gd_DJ-1_PARK7_(Gd160Di),Linear Regression,0.26327682979912065,0.3253539253539254,0.12079951057525035,0.05283372365496109,0.10590363861053109,shap
Linear Regression_160Gd_DJ-1_PARK7_(Gd160Di)_shap_10,10.0,160Gd_DJ-1_PARK7_(Gd160Di),Linear Regression,0.13183956788116086,0.22960102960102963,0.44339362750203615,0.17795934052487003,0.11130654467768353,shap
Linear Regression_160Gd_DJ-1_PARK7_(Gd160Di)_shap_20,20.0,160Gd_DJ-1_PARK7_(Gd160Di),Linear Regression,0.2523172400568975,0.18661518661518664,0.1376455397807551,0.2758084780245823,0.15360093941680777,shap
Linear Regression_160Gd_DJ-1_PARK7_(Gd160Di)_shap_40,40.0,160Gd_DJ-1_PARK7_(Gd160Di),Linear Regression,-0.1989762160485889,-0.16138996138996142,0.24466634898696854,0.3470382199535723,0.23257158840300107,shap
Linear Regression_160Gd_DJ-1_PARK7_(Gd160Di)_shap_60,60.0,160Gd_DJ-1_PARK7_(Gd160Di),Linear Regression,-0.43430568857447716,-0.3052767052767053,0.008129208911870727,0.07021639821272746,0.2905902931701637,shap
Linear Regression_160Gd_DJ-1_PARK7_(Gd160Di)_shap_61,61.0,160Gd_DJ-1_PARK7_(Gd160Di),Linear Regression,-0.43691241240479667,-0.3168597168597169,0.007713805004505289,0.05971317319454999,0.291438817324413,shap
Linear Regression_161Dy_b-Amyloid_X42_(Dy161Di)_shap_5,5.0,161Dy_b-Amyloid_X42_(Dy161Di),Linear Regression,0.6766179636203185,0.6182754182754183,5.8870087669548945e-06,5.8573806782221125e-05,0.05317990681861962,shap
Linear Regression_161Dy_b-Amyloid_X42_(Dy161Di)_shap_10,10.0,161Dy_b-Amyloid_X42_(Dy161Di),Linear Regression,0.7380764745304697,0.7647361647361649,2.7890835650125924e-07,5.6401538924709524e-08,0.05297626017934703,shap
Linear Regression_161Dy_b-Amyloid_X42_(Dy161Di)_shap_20,20.0,161Dy_b-Amyloid_X42_(Dy161Di),Linear Regression,0.8203395239676797,0.8509652509652511,9.153993934420996e-10,4.9008104288955686e-11,0.048860451549413354,shap
Linear Regression_161Dy_b-Amyloid_X42_(Dy161Di)_shap_40,40.0,161Dy_b-Amyloid_X42_(Dy161Di),Linear Regression,0.6828400418228059,0.6867438867438868,4.469379545712365e-06,3.7471093981635922e-06,0.06936053044923818,shap
Linear Regression_161Dy_b-Amyloid_X42_(Dy161Di)_shap_60,60.0,161Dy_b-Amyloid_X42_(Dy161Di),Linear Regression,0.3296243764513931,0.23474903474903477,0.04962246271796565,0.16816238203006428,0.10023637271753928,shap
Linear Regression_161Dy_b-Amyloid_X42_(Dy161Di)_shap_61,61.0,161Dy_b-Amyloid_X42_(Dy161Di),Linear Regression,0.32257137436939404,0.23063063063063063,0.05501386759443155,0.17596821609059968,0.10006122386037228,shap
Linear Regression_162Dy_Calreticulin_(Dy162Di)_shap_5,5.0,162Dy_Calreticulin_(Dy162Di),Linear Regression,0.47242168439871285,0.5137709137709139,0.0036224347651364814,0.0013507549402095895,0.052057149796044304,shap
Linear Regression_162Dy_Calreticulin_(Dy162Di)_shap_10,10.0,162Dy_Calreticulin_(Dy162Di),Linear Regression,0.4131618043573916,0.4391248391248392,0.012262114019940557,0.007375615647011983,0.0573774985863075,shap
Linear Regression_162Dy_Calreticulin_(Dy162Di)_shap_20,20.0,162Dy_Calreticulin_(Dy162Di),Linear Regression,0.703810810593904,0.640926640926641,1.6781435695437632e-06,2.540452744181564e-05,0.0501128524151933,shap
Linear Regression_162Dy_Calreticulin_(Dy162Di)_shap_40,40.0,162Dy_Calreticulin_(Dy162Di),Linear Regression,0.72740599444533,0.7212355212355213,5.018107454108477e-07,6.961886043490413e-07,0.04713407219548219,shap
Linear Regression_162Dy_Calreticulin_(Dy162Di)_shap_60,60.0,162Dy_Calreticulin_(Dy162Di),Linear Regression,0.13920647025443483,0.18893178893178894,0.41810370346646103,0.26978411614179126,0.10447747697597264,shap
Linear Regression_162Dy_Calreticulin_(Dy162Di)_shap_61,61.0,162Dy_Calreticulin_(Dy162Di),Linear Regression,0.14346252335013945,0.22290862290862293,0.4038712140566782,0.19129285983636599,0.09765067596159151,shap
Linear Regression_164Dy_GBA1_(Dy164Di)_shap_5,5.0,164Dy_GBA1_(Dy164Di),Linear Regression,0.45037928492676416,0.4211068211068212,0.0058449520909228765,0.010538306192466537,0.08832591614315392,shap
Linear Regression_164Dy_GBA1_(Dy164Di)_shap_10,10.0,164Dy_GBA1_(Dy164Di),Linear Regression,0.5399301115272701,0.5389961389961391,0.0006768882743647783,0.000694466215481699,0.08793943420642536,shap
Linear Regression_164Dy_GBA1_(Dy164Di)_shap_20,20.0,164Dy_GBA1_(Dy164Di),Linear Regression,0.007230219956355376,0.013899613899613899,0.9666176369907089,0.9358728353847385,0.17248052608720602,shap
Linear Regression_164Dy_GBA1_(Dy164Di)_shap_40,40.0,164Dy_GBA1_(Dy164Di),Linear Regression,0.12521863068292405,0.13951093951093954,0.4668166931433456,0.4170762727475831,0.19979971449925146,shap
Linear Regression_164Dy_GBA1_(Dy164Di)_shap_60,60.0,164Dy_GBA1_(Dy164Di),Linear Regression,0.0344982171113911,0.08622908622908623,0.8416811285107013,0.6170408845896129,0.17914741673512258,shap
Linear Regression_164Dy_GBA1_(Dy164Di)_shap_61,61.0,164Dy_GBA1_(Dy164Di),Linear Regression,0.024016286891485855,0.06126126126126127,0.8894247450240504,0.7226426908278502,0.17695694871067927,shap
Linear Regression_165Ho_3NT_(Ho165Di)_shap_5,5.0,165Ho_3NT_(Ho165Di),Linear Regression,0.5060881866150782,0.4314028314028315,0.001637757535967701,0.008614156639988095,0.12639163460508193,shap
Linear Regression_165Ho_3NT_(Ho165Di)_shap_10,10.0,165Ho_3NT_(Ho165Di),Linear Regression,0.49899629474687096,0.3891891891891892,0.0019488797412697061,0.01897264513910364,0.14113193370770344,shap
Linear Regression_165Ho_3NT_(Ho165Di)_shap_20,20.0,165Ho_3NT_(Ho165Di),Linear Regression,0.2898356528770225,0.2648648648648649,0.08640679768677638,0.11849240510368274,0.17818865934550254,shap
